Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AXN,"Aoxing Pharmaceutical Company, Inc.",0.36,$23.86M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axn
AMCO,"Armco Metals Holdings, Inc.",1.4999,$8.4M,n/a,Consumer Durables,Steel/Iron Ore,http://www.nasdaq.com/symbol/amco
HRT,Arrhythmia Research Technology Inc.,7.69,$21.2M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/hrt
AKG,Asanko Gold Inc.,1.5532,$270.37M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg
AINC,Ashford Inc.,145,$290M,2014,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc
ASB/WS,Associated Banc-Corp,2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asb/ws
AST,"Asterias Biotherapeutics, Inc.",3.95,$122.06M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast
ATL,Atlatsa Resources Corporation,0.1875,$103.93M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/atl
AWX,Avalon Holdings Corporation,3.12,$11.87M,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx
AVL,"Avalon Rare Metals, Inc.",0.17,$23.93M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/avl
ASM,Avino Silver,1.59,$56.41M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm
BTG,B2Gold Corp,1.96,$1.8B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg
BONE,"Bacterin International Holdings, Inc.",3.3,$22.03M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bone
BTN,"Ballantyne Strong, Inc",4.09,$58.98M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn
BKJ,"Bancorp of New Jersey, Inc",10.88,$58.42M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj
BCV,Bancroft Fund Limited,19.95,$104.58M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv
BAA,BANRO CORPORATION,0.1459,$36.78M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa
BHB,"Bar Harbor Bankshares, Inc.",30.7,$182.32M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb
BRN,"Barnwell Industries, Inc.",2.8,$23.18M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn
BIR^A,"Berkshire Income Realty, Inc.",28.444,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bir^a
BGSF,BG Staffing Inc,13,$72.91M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/bgsf
BTX,"BioTime, Inc.",4.08,$339.14M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx
BTX/WS,"BioTime, Inc.",1.2101,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/btx/ws
BGI,Birks Group Inc.,1.33,$23.84M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bgi
BZM,BlackRock Maryland Municipal Bond Trust,15.0119,$31.14M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bzm
MHE,BlackRock Massachusetts Tax-Exempt Trust,14.45,$34.14M,1993,n/a,n/a,http://www.nasdaq.com/symbol/mhe
BLE,BlackRock Municipal Income Trust II,16.53,$387.68M,2002,n/a,n/a,http://www.nasdaq.com/symbol/ble
BLJ,Blackrock New Jersey Municipal Bond Trust,15.85,$36.85M,2002,n/a,n/a,http://www.nasdaq.com/symbol/blj
BFY,BlackRock New York Municipal Income Trust II,15.09,$75.43M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bfy
BPS,BlackRock Pennsylvania Strategic Municipal Trust (The),13.5001,$27.43M,1999,n/a,n/a,http://www.nasdaq.com/symbol/bps
BHV,BlackRock Virginia Municipal Bond Trust,16.63,$26.45M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bhv
BDR,"Blonder Tongue Laboratories, Inc.",1.67,$10.4M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr
BRG,"Bluerock Residential Growth REIT, Inc.",13.44,$163.04M,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brg
BVX,Bovie Medical Corporation,3.55,$63.33M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx
BWL/A,"Bowl America, Inc.",14.5,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/bwl/a
BZC,Breeze-Eastern Corporation,10.1,$99.14M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/bzc
BTI,British American Tobacco p.l.c.,112.65,$104.99B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/bti
CAK,CAMAC Energy Inc.,0.34,$431.05M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cak
CANF,Can-Fite Biopharma Ltd,3.22,$28.53M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/canf
ROX,"Castle Brands, Inc.",1.6,$249.28M,2006,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/rox
CAW,"CCA Industries, Inc.",3.5,$24.52M,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/caw
CVM,Cel-Sci Corporation,0.71,$64.86M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cvm
CVM/WS,Cel-Sci Corporation,0.175,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cvm/ws
CEF,Central Fund of Canada Limited,13.23,$3.37B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cef
GTU,Central Gold Trust,44.82,$864.98M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gtu
CET,Central Securities Corporation,20.86,$503.09M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cet
CCF,Chase Corporation,35.8,$326.83M,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ccf
CQH,"Cheniere Energy Partners LP Holdings, LLC",22.91,$5.31B,2013,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqh
CQP,"Cheniere Energy Partners, LP",31.7,$10.71B,2007,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqp
LNG,"Cheniere Energy, Inc.",71.38,$16.91B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lng
CVR,Chicago Rivet & Machine Co.,31.15,$30.1M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr
CNR,China Metro-Rural Holdings Limited,0.907,$66.7M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cnr
CPHI,"China Pharma Holdings, Inc.",0.3,$13.07M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cphi
CKX,"CKX Lands, Inc.",15,$29.14M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx
GLV,Clough Global Allocation Fund,14.42,$150.47M,2004,n/a,n/a,http://www.nasdaq.com/symbol/glv
GLQ,Clough Global Equity Fund,14.1,$251.55M,2005,n/a,n/a,http://www.nasdaq.com/symbol/glq
GLO,Clough Global Opportunities Fund,11.91,$616.19M,2006,n/a,n/a,http://www.nasdaq.com/symbol/glo
CRV,"Coast Distribution System, Inc. (The)",3.46,$18.39M,n/a,Capital Goods,Automotive Aftermarket,http://www.nasdaq.com/symbol/crv
MOC,Command Security Corporation,2.25,$21.87M,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/moc
CIX,CompX International Inc.,10.5505,$130.87M,1998,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cix
LODE,"Comstock Mining, Inc.",1.08,$96.92M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode
CTO,Consolidated-Tomoka Land Co.,54.55,$320.05M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cto
MCF,Contango Oil & Gas Company,30.07,$582.61M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf
CUO,Continental Materials Corporation,17.39,$28.7M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cuo
CMT,Core Molding Technologies Inc,14.5,$111.22M,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/cmt
CRMD,CorMedix Inc,3.1,$69.39M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crmd
CRMD/WS,CorMedix Inc,0.49,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crmd/ws
CFP,Cornerstone Progressive Return Fund,15.01,$245.66M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfp
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",19.908,$88M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crf
CLM,"Cornerstone Strategic Value Fund, Inc.",19.98,$40.5M,1987,n/a,n/a,http://www.nasdaq.com/symbol/clm
COVR,Cover-All Technologies Inc.,1.24,$33.03M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/covr
CVU,"CPI Aerostructures, Inc.",11.75,$99.68M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/cvu
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.21,$167.69M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cik
DHY,Credit Suisse High Yield Bond Fund,2.73,$271.69M,1998,n/a,n/a,http://www.nasdaq.com/symbol/dhy
CRVP,"Crystal Rock Holdings, Inc.",0.72,$15.38M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/crvp
CTP,CTPartners Executive Search Inc.,5.48,$39.79M,2010,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ctp
CVSL,CVSL Inc.,5.82,$142M,2014,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/cvsl
DAKP,"Dakota Plains Holdings, Inc.",1.69,$92.81M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/dakp
DXR,Daxor Corporation,6.12,$24.69M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxr
DEJ,Dejour Energy Inc.,0.1486,$27.1M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dej
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",14.56,$70.43M,1993,n/a,n/a,http://www.nasdaq.com/symbol/vcf
VFL,Delaware Investments Florida Insured Municipal Income Fund,13.6,$61.59M,1993,n/a,n/a,http://www.nasdaq.com/symbol/vfl
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",14.09,$162.11M,1993,n/a,n/a,http://www.nasdaq.com/symbol/vmm
DLA,"Delta Apparel, Inc.",9.33,$73.51M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dla
DNN,Denison Mine Corp,0.855,$432.52M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/dnn
DGSE,"DGSE Companies, Inc.",1.51,$18.46M,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/dgse
DPW,Digital Power Corporation,1.04,$7.05M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dpw
DSS,"Document Security Systems, Inc.",0.4,$16.89M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dss
DMF,"Dreyfus Municipal Income, Inc.",9.995,$207.04M,1988,n/a,n/a,http://www.nasdaq.com/symbol/dmf
GRF,"Eagle Capital Growth Fund, Inc.",7.64,$23.88M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grf
ESTE,"Earthstone Energy, Inc.",23.01,$317.98M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/este
EVM,Eaton Vance California Municipal Bond Fund,12.25,$262.13M,2002,n/a,n/a,http://www.nasdaq.com/symbol/evm
EIA,Eaton Vance California Municipal Bond Fund II,13.59,$52.8M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eia
CEV,Eaton Vance California Municipal Income Trust,13.7,$99.39M,1999,n/a,n/a,http://www.nasdaq.com/symbol/cev
EVV,Eaton Vance Limited Duration Income Fund,14.01,$1.65B,2003,n/a,n/a,http://www.nasdaq.com/symbol/evv
MAB,Eaton Vance Massachusetts Municipal Bond Fund,14.98,$26.49M,2002,n/a,n/a,http://www.nasdaq.com/symbol/mab
MMV,Eaton Vance Massachusetts Municipal Income Trust,14.07,$38.59M,1999,n/a,n/a,http://www.nasdaq.com/symbol/mmv
MIW,Eaton Vance Michigan Municipal Bond Fund,13.77,$20.85M,2002,n/a,n/a,http://www.nasdaq.com/symbol/miw
EMI,Eaton Vance Michigan Municipal Income Trust,13.2,$27.5M,1999,n/a,n/a,http://www.nasdaq.com/symbol/emi
EIM,Eaton Vance Municipal Bond Fund,13.34,$909.36M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eim
EIV,Eaton Vance Municipal Bond Fund II,13.17,$131.88M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eiv
EMJ,Eaton Vance New Jersey Municipal Bond Fund,13.195,$34.42M,2002,n/a,n/a,http://www.nasdaq.com/symbol/emj
EVJ,Eaton Vance New Jersey Municipal Income Trust,12.65,$59.02M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evj
ENX,Eaton Vance New York Municipal Bond Fund,13.08,$205.12M,2002,n/a,n/a,http://www.nasdaq.com/symbol/enx
NYH,Eaton Vance New York Municipal Bond Fund II,12.5,$32.09M,2002,n/a,n/a,http://www.nasdaq.com/symbol/nyh
EVY,Eaton Vance New York Municipal Income Trust,14.1,$77.2M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evy
EIO,Eaton Vance Ohio Municipal Bond Fund,14.15,$35.9M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eio
EVO,Eaton Vance Ohio Municipal Income Trust,14.39,$41.11M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evo
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,13.2701,$39.28M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eip
EVP,Eaton Vance Pennsylvania Municipal Income Trust,12.58,$33.95M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evp
ELMD,"Electromed, Inc.",2.29,$18.58M,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/elmd
ETAK,Elephant Talk Communications Corp.,0.8,$121.4M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/etak
ELLO,Ellomay Capital Ltd.,9.2,$98.44M,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ello
ECF,Ellsworth Growth and Income Fund Ltd.,8.5068,$111.79M,1986,n/a,n/a,http://www.nasdaq.com/symbol/ecf
EMAN,eMagin Corporation,2.95,$73.82M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/eman
EOX,"Emerald Oil, Inc.",0.823,$54.83M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eox
MSN,Emerson Radio Corporation,1.0499,$28.48M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/msn
UUUU,Energy Fuels Inc,4.56,$89.76M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/uuuu
ENRJ,"EnerJex Resources, Inc.",1.33,$10.17M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/enrj
ENRJ^,"EnerJex Resources, Inc.",16.0101,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/enrj^
ENSV,ENSERVCO Corporation,1.64,$60.77M,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ensv
EGI,Entree Gold Inc,0.1716,$25.22M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/egi
EVI,"EnviroStarm, Inc.",2.3899,$16.81M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/evi
ERB,"ERBA Diagnostics, Inc.",3.6,$158.43M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/erb
ESP,Espey Mfg. & Electronics Corp.,27.385,$64.6M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esp
EMXX,Eurasian Minerals Inc.,0.7484,$54.95M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/emxx
EVBN,"Evans Bancorp, Inc.",23.65,$99.09M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbn
EPM,"Evolution Petroleum Corporation, Inc.",7.35,$241.06M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm
EPM^A,"Evolution Petroleum Corporation, Inc.",25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/epm^a
XRA,Exeter Resource Corporation,0.565,$49.95M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/xra
FPI,Farmland Partners Inc.,10.66,$82.42M,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fpi
FPP,FieldPoint Petroleum Corporation,1.88,$15.28M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fpp
FPP/WS,FieldPoint Petroleum Corporation,0.2944,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fpp/ws
FEN,First Trust Energy Income and Growth Fund,35.15,$680.34M,2004,n/a,n/a,http://www.nasdaq.com/symbol/fen
FWV,"First West Virginia Bancorp, Inc.",20.94,$36.2M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fwv
BDL,"Flanigan&#39;s Enterprises, Inc.",38.25,$71.09M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bdl
FSI,Flexible Solutions International Inc.,1.27,$16.73M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fsi
FTF,Franklin Limited Duration Income Trust,12.03,$322.83M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ftf
FSP,Franklin Street Properties Corp.,12.88,$1.29B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fsp
FRD,Friedman Industries Inc.,6.23,$42.36M,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/frd
FRS,"Frisch&#39;s Restaurants, Inc.",27.7,$141.76M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/frs
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",7.46,$803.38M,2005,n/a,n/a,http://www.nasdaq.com/symbol/ggn
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",22.53,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggn^b
EGAS,Gas Natural Inc.,9.75,$102.25M,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/egas
GST,Gastar Exploration Inc.,2.34,$184.54M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst
GST^A,Gastar Exploration Inc.,19.95,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^a
GST^B,Gastar Exploration Inc.,23.25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^b
JOB,"General Employment Enterprises, Inc.",0.68,$17.61M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/job
GMO,"General Moly, Inc",0.6,$54.57M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gmo
GIG,"GigOptix, Inc.",1.15,$37.79M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/gig
GSB,"GlobalSCAPE, Inc.",2.32,$48.64M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gsb
GSAT,"Globalstar, Inc.",2.42,$2.4B,2006,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/gsat
GLOW,"Glowpoint, Inc.",1.05,$37.6M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/glow
GORO,Gold Resource Corporation,3.5,$189.63M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/goro
GSV,Gold Standard Ventures Corporation,0.482,$59.64M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/gsv
AUMN,Golden Minerals Company,0.56,$29.69M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aumn
GSS,"Golden Star Resources, Ltd",0.317,$82.26M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gss
GV,Goldfield Corporation (The),2.27,$57.77M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/gv
GRC,Gorman-Rupp Company (The),28.51,$748.69M,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/grc
GTE,Gran Tierra Energy Inc.,2.14,$589.11M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gte
GPL,Great Panther Silver Limited,0.706,$98.53M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gpl
GRH,"GreenHunter Resources, Inc.",0.8,$28.39M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/grh
GRH^C,"GreenHunter Resources, Inc.",18.4999,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grh^c
SIM,"Grupo Simec, S.A. de C.V.",8.24,$1.37B,1993,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/sim
GVP,"GSE Systems, Inc.",1.6699,$29.87M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gvp
HCHC,"HC2 Holdings, Inc.",7.46,$177.66M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/hchc
HEB,"Hemispherx BioPharma, Inc.",0.2199,$43.99M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/heb
HLM^,Hillman Group Capital Trust,31.85,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hlm^
HMG,"HMG/Courtland Properties, Inc.",11.25,$11.8M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hmg
HH,"Hooper Holmes, Inc.",0.48,$34.02M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/hh
HUSA,Houston American Energy Corporation,0.21,$10.96M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/husa
IBIO,"iBio, Inc.",0.48,$34.51M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ibio
IBO,IBO (Listing Market - NYSE Amex Network B F),153.82,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibo
IEC,IEC Electronics Corp.,4.48,$45.44M,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/iec
